shipment_batch_id,shipment_date,shipment_due_date,production_year,target_retail_year,customer,destination,label_code,season,gender,fabric,garment_type,color,garment_units,label_qty,fabric_yards,zipper_button_qty,total_weight_kg,box_count,scenario_tag
SHP-202301-01,2023-01-08,2023-01-08,2023,2024,Mode Basic Partners,부산항,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32343,32343,43663.1,77623,8765.0,32,smooth
SHP-202301-02,2023-01-18,2023-01-18,2023,2024,North Peak Apparel,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,32046,43262.1,76910,8684.5,32,smooth
SHP-202301-03,2023-01-27,2023-01-27,2023,2024,Urban Trail Korea,부산항,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30857,30857,41657.0,74056,8362.3,30,smooth
SHP-202302-01,2023-02-07,2023-02-07,2023,2024,Daily Cotton Studio,부산항,W2WPM10GY,겨울,여성,울,코트,그레이,36769,36769,49638.2,88245,9964.4,36,smooth
SHP-202302-02,2023-02-15,2023-02-15,2023,2024,River Outdoor Co.,인천항,W3MJW01NV,겨울,남성,울,재킷,네이비,30813,30813,41597.6,73951,8350.3,30,smooth
SHP-202302-03,2023-02-23,2023-02-23,2023,2024,Mode Basic Partners,부산항,W2WTO11BK,가을,여성,트윌,아우터,블랙,34301,34301,46306.4,82322,9295.6,34,smooth
SHP-202302-04,2023-02-28,2023-02-28,2023,2024,North Peak Apparel,인천항,W2MTC08RD,여름,여성,면,티셔츠,레드,33523,33523,45256.1,80455,9084.7,33,smooth
SHP-202303-01,2023-03-08,2023-03-08,2023,2024,Urban Trail Korea,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,33296,44949.6,79910,9023.2,33,smooth
SHP-202303-02,2023-03-18,2023-03-18,2023,2024,Daily Cotton Studio,부산항,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30976,30976,41817.6,74342,8394.5,30,smooth
SHP-202303-03,2023-03-27,2023-03-27,2023,2024,River Outdoor Co.,인천항,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,34356,34356,46380.6,82454,9310.5,34,smooth
SHP-202304-01,2023-04-08,2023-04-08,2023,2024,Mode Basic Partners,인천항,W3MJW01NV,겨울,남성,울,재킷,네이비,33338,33338,45006.3,80011,9034.6,33,smooth
SHP-202304-02,2023-04-18,2023-04-18,2023,2024,North Peak Apparel,부산항,W2WTO11BK,가을,여성,트윌,아우터,블랙,40067,40067,54090.5,96160,10858.2,40,smooth
SHP-202304-03,2023-04-27,2023-04-27,2023,2024,Urban Trail Korea,인천항,W2MTC08RD,여름,여성,면,티셔츠,레드,36432,36432,49183.2,87436,9873.1,36,smooth
SHP-202305-01,2023-05-07,2023-05-07,2023,2024,Daily Cotton Studio,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,46048,46048,62164.8,110515,12479.0,46,smooth
SHP-202305-02,2023-05-15,2023-05-15,2023,2024,River Outdoor Co.,부산항,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,43815,43815,59150.3,105156,11873.9,43,smooth
SHP-202305-03,2023-05-23,2023-05-23,2023,2024,Mode Basic Partners,인천항,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,36852,36852,49750.2,88444,9986.9,36,smooth
SHP-202305-04,2023-05-28,2023-05-28,2023,2024,North Peak Apparel,부산항,W2WPM10GY,겨울,여성,울,코트,그레이,47843,47843,64588.1,114823,12965.5,47,smooth
SHP-202306-01,2023-06-08,2023-06-08,2023,2024,Urban Trail Korea,부산항,W2WTO11BK,가을,여성,트윌,아우터,블랙,38200,38200,51570.0,91680,10352.2,38,smooth
SHP-202306-02,2023-06-18,2023-06-18,2023,2024,Daily Cotton Studio,인천항,W2MTC08RD,여름,여성,면,티셔츠,레드,45776,45776,61797.6,109862,12405.3,45,smooth
SHP-202306-03,2023-06-27,2023-06-27,2023,2024,River Outdoor Co.,부산항,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,44309,44309,59817.2,106341,12007.7,44,smooth
SHP-202307-01,2023-07-08,2023-07-08,2023,2024,Mode Basic Partners,부산항,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,44065,44065,59487.8,105756,11941.6,44,smooth
SHP-202307-02,2023-07-18,2023-07-18,2023,2024,North Peak Apparel,인천항,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,40372,40372,54502.2,96892,10940.8,40,smooth
SHP-202307-03,2023-07-27,2023-07-27,2023,2024,Urban Trail Korea,부산항,W2WPM10GY,겨울,여성,울,코트,그레이,40322,40322,54434.7,96772,10927.3,40,smooth
SHP-202308-01,2023-08-07,2023-08-07,2023,2024,Daily Cotton Studio,부산항,W2WTO11BK,가을,여성,트윌,아우터,블랙,40618,40618,54834.3,97483,11007.5,40,smooth
SHP-202308-02,2023-08-15,2023-08-15,2023,2024,River Outdoor Co.,인천항,W2MTC08RD,여름,여성,면,티셔츠,레드,36274,36274,48969.9,87057,9830.3,36,smooth
SHP-202308-03,2023-08-23,2023-08-23,2023,2024,Mode Basic Partners,부산항,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40444,40444,54599.4,97065,10960.3,40,smooth
SHP-202308-04,2023-08-28,2023-08-28,2023,2024,North Peak Apparel,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33339,33339,45007.7,80013,9034.9,33,smooth
SHP-202309-01,2023-09-08,2023-09-08,2023,2024,Urban Trail Korea,인천항,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,33727,33727,45531.5,80944,9140.0,33,smooth
SHP-202309-02,2023-09-18,2023-09-18,2023,2024,Daily Cotton Studio,부산항,W2WPM10GY,겨울,여성,울,코트,그레이,34189,34189,46155.2,82053,9265.2,34,smooth
SHP-202309-03,2023-09-27,2023-09-27,2023,2024,River Outdoor Co.,인천항,W3MJW01NV,겨울,남성,울,재킷,네이비,40877,40877,55184.0,98104,11077.7,40,smooth
SHP-202310-01,2023-10-08,2023-10-08,2023,2024,Mode Basic Partners,인천항,W2MTC08RD,여름,여성,면,티셔츠,레드,38225,38225,51603.8,91740,10359.0,38,smooth
SHP-202310-02,2023-10-18,2023-10-18,2023,2024,North Peak Apparel,부산항,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,40571,40571,54770.9,97370,10994.8,40,smooth
SHP-202310-03,2023-10-27,2023-10-27,2023,2024,Urban Trail Korea,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,37921,37921,51193.4,91010,10276.6,37,smooth
SHP-202311-01,2023-11-07,2023-11-07,2023,2024,Daily Cotton Studio,인천항,W2MPL09NV,가을,남성,폴리에스터,팬츠,네이비,42633,42633,57554.6,102319,11553.6,42,smooth
SHP-202311-02,2023-11-15,2023-11-15,2023,2024,River Outdoor Co.,부산항,W2WPM10GY,겨울,여성,울,코트,그레이,36005,36005,48606.8,86412,9757.4,36,smooth
SHP-202311-03,2023-11-23,2023-11-23,2023,2024,Mode Basic Partners,인천항,W3MJW01NV,겨울,남성,울,재킷,네이비,40328,40328,54442.8,96787,10928.9,40,smooth
SHP-202311-04,2023-11-28,2023-11-28,2023,2024,North Peak Apparel,부산항,W2WTO11BK,가을,여성,트윌,아우터,블랙,43514,43514,58743.9,104433,11792.3,43,smooth
SHP-202312-01,2023-12-08,2023-12-08,2023,2024,Urban Trail Korea,부산항,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,36519,36519,49300.7,87645,9896.7,36,smooth
SHP-202312-02,2023-12-18,2023-12-18,2023,2024,Daily Cotton Studio,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,40567,40567,54765.5,97360,10993.7,40,smooth
SHP-202312-03,2023-12-27,2023-12-27,2023,2024,River Outdoor Co.,부산항,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,38471,38471,51935.9,92330,10425.6,38,smooth
SHP-202401-01,2024-01-08,2024-01-08,2024,2025,North Peak Apparel,부산항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,30721,30721,41473.4,73730,8325.4,30,smooth
